,Row Number,University Name,Website,Year Established,Fees,State,Region
72,104,"Saisa University of Medical Sciences and Technology, Sokoto State",https://admission.saisa.edu.ng/,2022,662500,Sokoto,North-West
73,27,"Hallmark University, Ijebi Itele, Ogun",https://hallmarkuniversity.edu.ng/,2015,650000,Ogun,South-West
74,109,NorthWest University Sokoto State,https://nwus.edu.ng/,2022,650000,Sokoto,North-West
75,114,"Lux Mundi University Umuahia, Abia State",https://luxmundi.edu.ng/fees/tuition,2023,650000,Abia,South-East
76,75,"Dominion University Ibadan, Oyo State",https://www.dominionuniversity.edu.ng/,2019,643200,Oyo,South-West
77,4,"Ajayi Crowther University, Ibadan",https://www.acu.edu.ng,2005,642500,Oyo,South-West
78,83,"Mudiame University, Irrua, Edo State",https://www.mudiameuniversity.edu.ng/tuition-fee/,2021,632741,Edo,South-South
79,19,Crawford University Igbesa,https://www.crawforduniversity.edu.ng,2005,630500,Ogun,South-West
80,61,Anchor University Ayobo Lagos State,https://www.aul.edu.ng/,2016,610000,Lagos,South-West
81,49,"Salem University, Lokoja",https://www.salemuniversity.edu.ng,2007,597250,Kogi,North-Central
82,21,"Edwin Clark University, Kaigbodo",https://www.edwinclarkuniversity.edu.ng/,2015,597150,Delta,South-South
83,66,Coal City University Enugu State,https://www.ccu.edu.ng/,2016,593550,Enugu,South-East
84,94,"Edusoko University, Bida, Niger State",https://edusokouniversity.edu.ng/fees,2021,587000,Niger,North-Central
85,36,"Mcpherson University, Seriki Sotayo, Ajebo",https://www.mcu.edu.ng,2012,585173,Ogun,South-West
86,33,"Landmark University, Omu-Aran.",https://www.lmu.edu.ng,2011,580571,Kwara,North-Central
87,106,"Peter University, Achina-Onneh Anambra State",https://www.puni.edu.ng/,2022,575000,Anambra,South-East
88,97,"Anan University, Kwall, Plateau State",https://www.ananuniversity.edu.ng/,2021,570000,Plateau,North-Central
89,133,"Shanahan University Onitsha, Anambra State",https://shanahanuni.edu.ng/faq/how-much-is-the-tuition/,2023,566666,Anambra,South-East
90,40,"Novena University, Ogume",https://www.novenauniversity.edu.ng,2005,560000,Delta,South-South
91,96,"Khadija University, Majia, Jigawa State",https://kum.edu.ng/tuition-fees/,2021,558333,Jigawa,North-West
92,35,"Madonna University, Okija",https://www.madonnauniversity.edu.ng,1999,554676,Anambra,South-East
93,37,Micheal & Cecilia Ibru University,https://mciu.edu.ng/,2015,534783,Delta,South-South
94,80,"Maranathan University, Mgbidi, Imo State",https://maranathauniversitylagos.edu.ng/school-fees/,2021,532500,Imo,South-East
95,120,"Huda University, Gusau, Zamafara State",https://hug.edu.ng/,2023,524500,Zamafara,North-West
96,45,"Redeemer's University, Ede",https://www.run.edu.ng,2005,514985,Osun,South-West
97,54,"University of Mkar, Mkar",https://www.unimkar.edu.ng,2005,494500,Benue,North-Central
98,50,"Glorious Vision University, Ogwa, Edo State.",https://www.sau.edu.ng,2011,493375,Edo,South-South
99,118,"Vision University, Ikogbo, Ogun State",https://gvu.edu.ng/undergraduate/admission/tuition-fees/,2023,493375,Ogun,South-West
100,52,"Summit University, Offa",https://www.summituniversity.edu.ng,2015,488500,Kwara,North-Central
101,24,"Fountain Unveristy, Oshogbo",https://www.fuo.edu.ng,2007,482500,Osun,South-West
102,71,Atiba University Oyo,https://www.atibauniversity.edu.ng/,2017,471428,Oyo,South-West
103,77,"Westland University Iwo, Osun State",https://westland.edu.ng/,2019,460533,Osun,South-West
104,47,"Rhema University, Obeama-Asa - Rivers State",https://www.rhemauniversity.edu.ng,2009,459000,Rivers,South-South
105,53,"Tansian University, Umunya",https://tansianuniversity.edu.ng/,2007,450500,Anambra,South-East
106,82,"Al-Istiqama University, Sumaila, Kano State",https://mytopschools.com/ausu-school-fees/,2021,447466,Kano,North-West
107,69,"Precious Cornerstone University, Oyo",https://www.pcu.edu.ng,2017,427500,Oyo,South-West
108,42,"Oduduwa University, Ipetumodu - Osun State",https://www.oduduwauniversity.edu.ng,2009,416666,Osun,South-West
109,65,"Ojaja University Eiyenkorin, Kwara State",https://www.crownhilluniversity.edu.ng/,2016,415823,Kwara,North-Central
110,25,"Godfrey Okoye University, Ugwuomu-Nike - Enugu State",https://www.gouni.edu.ng,2009,400902,Enugu,South-East
111,115,"Maduka University, Ekwegbe, Enugu State",https://madukauniversity.edu.ng/fee-list,2023,400631,Enugu,South-East
112,111,Muhammad Kamalud University Kwara,https://mku.edu.ng/admission-requirements,2023,385866,Kwara,North-Central
113,68,"Spiritan University, Nneochi Abia State",https://www.spiritanuniversity.edu.ng,2017,365000,Abia,South-East
114,23,"Evangel University, Akaeze",https://www.evangeluniversity.edu.ng,2012,361800,Ebonyi,South-East
115,28,"Hezekiah University, Umudi",https://hezekiah.edu.ng/,2015,350000,Imo,South-East
116,44,"Paul University, Awka - Anambra State",https://www.pauluniversity.edu.ng,2009,342000,Anambra,South-East
117,91,"Ahman Pategi University, Kwara State",https://schoolings.org/ahman-pategi-university-patigi-school-fees-for-fresh-students/,2021,331866,Kwara,North-Central
118,16,"Caritas University, Enugu",https://www.caritasuni.edu.ng/,2005,329291,Enugu,South-East
119,137,"Miva Open University, Abuja FCT",https://miva.university/,2023,306666,FCT Abuja,North-Central
120,51,"Southwestern University, Oku Owa",https://www.southwesternuniversity.edu.ng,2012,300000,Delta,South-South
121,63,"Legacy University, Okija Anambra State",https://www.legacyuniversity.edu.ng/,2016,300000,Anambra,South-East
122,41,"Obong University, Obong Ntak",https://www.obonguniversity.org/,2007,277000,Akwa Ibom,South-South
123,85,"Claretian University of Nigeria, Nekede, Imo State",https://claretianuniversity.edu.ng/cun-tuition-fees-and-scholarship/,2021,275000,Imo,South-East
124,6,"Al-Qalam University, Katsina",https://www.auk.edu.ng,2005,237479,Katsina,North-West
125,112,"Sam Maris University, Ondo",https://smu.edu.ng/index.php/contents/fees-structure.html,2023,225000,Ondo,South-West
126,32,"Kwararafa University, Wukari",https://www.kuw.edu.ng/,2005,170000,Taraba,North-East
127,140,"Al-Muhibbah Open University, Abuja",https://aou.edu.ng/tuition,2023,105000,FCT Abuja,North-Central
128,138,"Iconic Open University, Sokoto State.",https://www.iconicuniversity.edu.ng/,2023,70833,Sokoto,North-West
